work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2023,3,2,84,26,100,25,0,85847
2023,2,0,66,75,100,70,2,30000
2023,2,0,66,75,100,70,2,25500
2023,3,2,47,11,100,12,1,175000
2023,3,2,47,11,100,12,1,120000
2023,3,2,8,75,0,70,0,222200
2023,3,2,8,75,0,70,0,136000
2023,3,2,47,11,0,12,1,219000
2023,3,2,47,11,0,12,1,141000
2023,3,2,47,75,0,70,1,147100
2023,3,2,47,75,0,70,1,90700
2023,3,2,25,75,100,70,1,130000
2023,3,2,25,75,100,70,1,100000
2023,0,2,8,75,0,70,0,213660
2023,0,2,8,75,0,70,0,130760
2023,3,2,38,75,0,70,1,147100
2023,3,2,38,75,0,70,1,90700
2023,3,2,47,75,0,70,1,170000
2023,3,2,47,75,0,70,1,150000
2023,2,2,25,75,100,70,1,150000
2023,2,2,25,75,100,70,1,110000
2023,3,2,88,20,0,20,1,275000
2023,3,2,88,20,0,20,1,174000
2023,3,2,4,29,100,28,1,230000
2023,3,2,4,29,100,28,1,143200
2023,3,2,18,75,0,70,1,225000
2023,3,2,18,75,0,70,1,156400
2023,3,2,69,75,0,70,1,200000
2023,3,2,69,75,0,70,1,130000
2023,3,2,50,11,0,12,1,90000
2023,3,2,50,11,0,12,1,72000
2023,3,2,33,75,0,70,1,253200
2023,3,2,33,75,0,70,1,90700
2023,3,2,23,75,0,70,1,342810
2023,3,2,23,75,0,70,1,184590
2023,2,2,33,75,0,70,1,162500
2023,2,2,33,75,0,70,1,130000
2023,2,2,25,75,0,70,1,105380
2023,2,2,25,75,0,70,1,64500
2023,0,2,41,56,100,53,0,100000
2023,0,2,22,56,100,53,0,30000
2022,2,2,69,39,50,38,0,20984
2023,0,2,8,75,0,70,0,204620
2023,0,2,8,75,0,70,0,110680
2023,3,2,33,75,0,70,1,270703
2023,3,2,33,75,0,70,1,221484
2023,3,2,47,75,100,70,1,212750
2023,3,2,47,75,100,70,1,185000
2023,3,2,47,75,100,70,1,262000
2023,3,2,47,75,100,70,1,245000
2023,3,2,47,75,100,70,1,275300
2023,3,2,47,75,100,70,1,183500
2023,3,2,47,75,100,70,1,218500
2023,3,2,47,75,100,70,1,199098
2023,3,2,33,75,100,70,1,203300
2023,3,2,33,75,100,70,1,123600
2023,3,2,88,75,0,70,1,189110
2023,3,2,88,75,0,70,1,139000
2023,1,2,47,75,0,70,1,258750
2023,1,2,47,75,0,70,1,185000
2023,3,2,33,75,100,70,1,231500
2023,3,2,33,75,100,70,1,166000
2023,3,2,47,75,100,70,1,172500
2023,3,2,47,75,100,70,1,110500
2023,3,2,33,75,0,70,1,238000
2023,3,2,33,75,0,70,1,176000
2023,3,2,33,75,100,70,1,237000
2023,3,2,33,75,100,70,1,201450
2023,3,2,8,75,0,70,0,309400
2023,3,2,8,75,0,70,0,159100
2023,3,2,33,75,0,70,1,115000
2023,3,2,33,75,0,70,1,81500
2023,3,2,47,75,100,70,1,237000
2023,3,2,47,75,100,70,1,201450
2023,3,2,23,75,0,70,1,280000
2023,3,2,23,75,0,70,1,210000
2023,3,2,31,75,100,70,1,280100
2023,3,2,31,75,100,70,1,168100
2023,3,2,33,75,100,70,1,193500
2023,3,2,33,75,100,70,1,139000
2023,2,2,47,32,0,31,0,65062
2023,3,2,69,63,100,70,1,150000
2023,2,2,6,39,100,20,2,69751
2022,0,2,1,39,50,38,0,300000
2023,2,2,69,57,100,54,0,96578
2023,3,2,18,75,0,70,1,185900
2023,3,2,18,75,0,70,1,129300
2023,3,2,33,75,100,70,1,225000
2023,3,2,33,75,100,70,1,175000
2023,3,2,33,75,0,70,1,185000
2023,3,2,33,75,0,70,1,140000
2023,3,2,47,26,0,25,1,48289
2023,3,2,47,26,0,25,1,38631
2023,3,2,47,75,0,70,1,105000
2023,3,2,47,75,0,70,1,70000
2023,0,2,69,75,0,70,1,163196
2023,0,2,69,75,0,70,1,145885
2023,3,2,33,75,100,70,1,217000
2023,3,2,33,75,100,70,1,185000
2023,3,2,25,75,0,70,0,202800
2023,3,2,25,75,0,70,0,104300
2023,3,2,25,75,0,70,1,145000
2023,3,2,25,75,0,70,1,65000
2023,3,2,33,75,0,70,1,165000
2023,3,2,33,75,0,70,1,132300
2023,3,2,33,75,0,70,1,179170
2023,3,2,33,75,0,70,1,94300
2023,3,2,4,75,0,70,1,152500
2023,3,2,4,75,0,70,1,116450
2023,3,2,33,75,0,70,1,247300
2023,3,2,33,75,0,70,1,133800
2023,3,2,88,75,0,70,1,203000
2023,3,2,88,75,0,70,1,133000
2023,0,2,89,75,50,70,0,220000
2022,0,2,69,13,100,14,2,56536
2023,3,2,47,75,0,70,1,150000
2023,3,2,47,75,0,70,1,120000
2023,3,2,4,75,0,70,1,289800
2023,3,2,4,75,0,70,1,214000
2023,3,2,4,75,0,70,1,179820
2023,3,2,4,75,0,70,1,143860
2023,3,2,69,75,100,70,1,283200
2023,3,2,69,75,100,70,1,188800
2023,3,2,4,75,0,70,1,289800
2023,3,2,4,75,0,70,1,214200
2023,3,2,33,75,0,70,1,185900
2023,3,2,33,75,0,70,1,129300
2023,3,2,33,75,0,70,1,252000
2023,3,2,33,75,0,70,1,129000
2023,2,2,29,75,0,70,1,155000
2023,2,2,29,75,0,70,1,140000
2023,3,2,33,75,100,70,1,161800
2023,3,2,33,75,100,70,1,141600
2023,3,2,69,75,0,70,0,342300
2023,3,2,69,75,0,70,0,176100
2023,2,2,33,75,100,70,1,100000
